Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,,,,,,,,,,,,,,,,,,
TC_RequestACallBack_05,TS_RequestACallBack_01,All the required field is completed.,"To validate if the user is able to get a Thank you message after clicking ""get a call back"" option."," Click on ""Get a callback"".",,"User should be able to receive a message as ""Thank you for submitting your details.Our team willget back to you shortly"".",,,,,,,,,,,,,,,,,,
TC_RequestACallBack_06,TS_RequestACallBack_01,"1.Ad package website is opened.
2. Request a call back form is accessible",To validate if all or any of the required field is empty it should display the error message.,"1. Enter your name
2. Enter your mobile number
3. Enter your email id
4. Enter your City.
5. Enter your query
6. Click on ""checkbox""
7. Click on ""Get a callback"".",,"User should be able to receive the error message as ""Compulsory Field. Cannot be blank"".",,,,,,,,,,,,,,,,,,
TC_RequestACallBack_07,TS_RequestACallBack_01,"1.Ad package website is opened.
2. Request a call back form is accessible",To validate if the check box is not checked it should display the error message.,"1. Enter your name
2. Enter your mobile number
3. Enter your email id
4. Enter your City.
5. Enter your query
6.Click on ""Get a callback"".","1. Darshana
2. +91 7972217890
3. rucha123@gmail.com
4. Nagpur
5. enter your query.

"," User should be able to get a error message as ""Please agree to the tearms before proceeding"".",,,,,,,,,,,,,,,,,,
TC_RequestACallBack_08,TS_RequestACallBack_01,"1.Ad package website is opened.
2. Request a call back form is accessible",To validate if the Name and city entered is invalid then it should display the error message,"1. Enter your name
2. Enter your mobile number
3. Enter your email id
4. Enter your City.
5. Enter your query
6. Click on checkbox""
7.Click on ""Get a callback"".","1. Dar2345
2. +91 7972217890
3. rucha123@gmail.com
4. $rt675
5. enter your query.

","User should be able to get a error message as ""Numbers or Special Characters not allowed"".",,,,,,,,,,,,,,,,,,
TC_RequestACallBack_09,TS_RequestACallBack_01,"1.Ad package website is opened.
2. Request a call back form is accessible",To validate if the mobile Number is invalid then it should display the error message.,"1. Enter your name
2. Enter your mobile number
3. Enter your email id
4. Enter your City.
5. Enter your query
6. Click on checkbox""
7.Click on ""Get a callback"".","1. Darshana
2. +91 73546dgd
3. rucha123@gmail.com
4. Nagpur
5. enter your query.

","User should be able to get a error message as ""Please enter a valid 10 digit mobile number."".",,,,,,,,,,,,,,,,,,
TC_RequestACallBack_10,TS_RequestACallBack_01,"1.Ad package website is opened.
2. Request a call back form is accessible",To validate if the email id entered is invalid then it should display the error message.,"1. Enter your name
2. Enter your mobile number
3. Enter your email id
4. Enter your City.
5. Enter your query
6. Click on checkbox""
7.Click on ""Get a callback"".","1. Darshana
2. +91 7354546735
3. rucha1@gmail.c
4. Nagpur
5. enter your query.

","User should be able to get the error message as ""Please enter valid email Id""",,,,,,,,,,,,,,,,,,
TC_RequestACallBack_11,TS_RequestACallBack_01,"1.Ad package website is opened.
2. Request a call back form is accessible",To validate if the entered query is one word or less than 10 characters then the error message should be displayed.,"1. Enter your name
2. Enter your mobile number
3. Enter your email id
4. Enter your City.
5. Enter your query
6. Click on checkbox""
7.Click on ""Get a callback"".","1. Darshana
2. +91 7972217890
3. rucha123@gmail.com
4. Nagpur
5. 234wre

","User should be able to get a error message as ""Min 10 Characters"".",,,,,,,,,,,,,,,,,,
TC_RequestACallBack_12,TS_RequestACallBack_01,Chat is accessible on Ad package web page,"To validate on clicking ""Chat"" user is redirected to live support i.e Zendesk.","1. Click on ""chat"".",,User should be able to redirect to the live support i.e Zendesk.,,,,,,,,,,,,,,,,,,
TC_iAdvantage_01,TS_iAdvantage_01,Sell module drop down should be opened.," To Validate that the user is able to navigate to iAdvantage after clicking on ""iAdvantage"" option.","1. Hover to ""sell module"" of the ""Ad package"" webpage.
2. Click on the iAdvantage option.",,User should be navigated to the iAdvantage webpage.,,,,,,,,,,,,,,,,,,
TC_iAdvantage_02,TS_iAdvantage_01,iAdvantage web page is opened.,To validate that the user is able to view all the contents in iAdvantage section.,Scroll down the iAdvantage web Page,,User should be able to view all the contents in iAdvantage Section.,,,,,,,,,,,,,,,,,,
TC_iAdvantage_03,TS_iAdvantage_01,iAdvantage web page is opened.,To validate on clicking the url user is redirected to the login page of the iAdvantage.,"1. Click on the iAdvantage login ""URL"".",,User should be redirected to the login page of the iAdvantage.,,,,,,,,,,,,,,,,,,
TC_iAdvantage_04,TS_iAdvantage_01,iAdvantage web page is opened ,To validate user is not able to add the available amount to the cart without login and should navigate to login page,"1. Click on add to ""Add to my orders"".",,User should not be able to add the amount to my orders without the login and should navigate to login page.,,,,,,,,,,,,,,,,,,
TC_iAdvantage_05,TS_iAdvantage_01,iAdvantage web page is opened.,"To validate if the user is able to navigate to the login page after clicking on ""Go to cart"" option.","1. Click on ""Go to Cart"".",,User should be navigated to the login page.,,,,,,,,,,,,,,,,,,
TC_iAdvantage_06,TS_iAdvantage_01,Login page should be opened.,To Validate user is able to view the cart after login using email id or password,"1. Enter your email id or mobile number 
2. Enter your password
3. Click ""login""","1. Rucha123@gmail.com
2. Rucha@123",User should be able to view the cart .,,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_01,TS_SalesEnquiry_01,Sell module drop down should be opened.,"To validate that the user is able to navigate to Sales Enquiry web page after clicking on ""Sales Enquiry"" option.","1. Click on the ""Sales Enquiry"".",,User should be able to navigate to Sales Enquiry web page.,,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_02,TS_SalesEnquiry_01,"""Sales Enquiry"" web page should be opened.",To validate on clicking Request a callback user is getting a pop up to enter the details to get a call back if user is not logged in.,"1. Click on ""request a callback""
",,"User should be able to get the pop up to enter the details and able to request for a call back after entering the details.
",,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_03,TS_SalesEnquiry_01,"""Request a callback"" pop-up should be opened.",To validate if all the fields are blank user should be able to receive error messages for all the respective fields.,"Click on ""Request a callback"".",,User should get the error message for the respective fields if the fields are blank.,,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_04,TS_SalesEnquiry_01,"1. Sales Enquiry web page should be opened.
2. User should be already logged in with the magic bricks account.",To validate if the user has already logged in to magic bricks account the details are already filled into the request a call back pop up,"1. User should be already logged in to the account
2. Click on ""Request a callback"" ",,logged in user should already find the details filled.,,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_05,TS_SalesEnquiry_01,Sales Enquiry web page should be opened.," To validate on clicking ""Show me"" option user is able to get the pop up box for selecting the options as buyer, agent or owner.","1. Click on ""show me"" option in the ""Sales Enquiry"" web page",,"User should get the pop up box for selecting options as buyer, agent or owner.",,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_06,TS_SalesEnquiry_01,"Pop up box for selecting the Buyer,Agent or Owner should be opened.",To validate After searching the question or typing the keyword user is able to view the popup for the similar questions or the questions containing the entered keyword.," 1. Click on radio button of  ""buyer"",""owner"" or ""agent""
2. Type the question in the search box
3. click on ""search""",How to login?, After searching the question or typing the keyword user should be able to view the popup for the similar questions or the questions containing the entered  keyword.,,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_07,TS_SalesEnquiry_01,"Pop up box for selecting the Buyer,Agent or Owner should be opened.","To validate user is able to navigate back to the same page on clicking the ""Cross""","1. Click on the ""Cross"".",,"User should be able to navigate back to same page i.e ""Help"" on clicking the ""Cross"" button",,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_08,TS_SalesEnquiry_01,Help page should be opened,To validate user is able to find cities according to the alphabet.,"1. Hower to the ""sell module""
2. Click ""Sales Enquiry""
3. Click on the initial alphabet of the city",,User should be able to find the cities according to the alphabet that is entered,,,,,,,,,,,,,,,,,,
TC_SalesEnquiry_09,TS_SalesEnquiry_01,Sales Enquiry web page should be opened., To validate User is navigated to the outlook or email account on clicking any of the email.,1. Click on any of the email id.,,User should be able to navigate to the email account or outlook on clicking any of the given email,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
